poly_id,year,month,cooling_monthly_mean,n_points,month_date,poly_elv
9,2023,2,2.3244442409939237,18,2023-02-01,46.992342948913574
9,2023,3,2.3768439041940788,19,2023-03-01,46.992342948913574
9,2023,4,2.1852657920435856,19,2023-04-01,46.992342948913574
9,2023,5,1.8210465280633223,19,2023-05-01,46.992342948913574
9,2023,6,1.1647370990953947,19,2023-06-01,46.992342948913574
9,2023,7,0.15149993896484376,20,2023-07-01,46.992342948913574
9,2023,8,0.3105292069284539,19,2023-08-01,46.992342948913574
9,2023,9,0.7211083306206597,18,2023-09-01,46.992342948913574
9,2023,10,0.8894382052951388,18,2023-10-01,46.992342948913574
9,2023,11,1.2663108424136513,19,2023-11-01,46.992342948913574
9,2023,12,1.443499755859375,20,2023-12-01,46.992342948913574
9,2024,1,2.0278914602179277,19,2024-01-01,46.992342948913574
9,2024,2,2.774444580078125,18,2024-02-01,46.992342948913574
9,2024,3,3.760003662109375,20,2024-03-01,46.992342948913574
9,2024,4,3.9726289447985197,19,2024-04-01,46.992342948913574
9,2024,5,3.050521047491776,19,2024-05-01,46.992342948913574
9,2024,6,2.8800016704358553,19,2024-06-01,46.992342948913574
9,2024,7,3.4789492958470394,19,2024-07-01,46.992342948913574
9,2024,8,3.5784237510279606,19,2024-08-01,46.992342948913574
9,2024,9,3.2494795949835527,19,2024-09-01,46.992342948913574
9,2024,10,3.184444851345486,18,2024-10-01,46.992342948913574
10,2020,10,2.355789987664474,19,2020-10-01,33.284361839294434
10,2020,11,2.3752569901315788,19,2020-11-01,33.284361839294434
10,2020,12,3.1440032958984374,20,2020-12-01,33.284361839294434
10,2021,1,3.6215804250616777,19,2021-01-01,33.284361839294434
10,2021,2,7.6611776912913605,17,2021-02-01,33.284361839294434
10,2021,3,8.476310328433389,19,2021-03-01,33.284361839294434
10,2021,4,8.28315654553865,19,2021-04-01,33.284361839294434
10,2021,5,4.9889984130859375,20,2021-05-01,33.284361839294434
10,2021,6,2.9426301655016447,19,2021-06-01,33.284361839294434
