interval_from,interval_to,LST_B0_min,LST_B0_max,LST_B0_mean,LST_B0_stDev,LST_B0_sampleCount,LST_B0_noDataCount,poly_id,landcover,elv
2024-08-24,2024-08-25,294.760009765625,294.760009765625,294.760009765625,0.0,65536,422,2,10.0,56.3132438659668
2024-08-25,2024-08-26,290.57000732421875,290.57000732421875,290.57000732421875,0.0,65536,422,2,10.0,56.3132438659668
2024-08-27,2024-08-28,290.7799987792969,290.7799987792969,290.7799987792969,0.0,65536,422,2,10.0,56.3132438659668
2024-08-29,2024-08-30,297.9700012207031,297.9700012207031,297.9700012207031,0.0,65536,422,2,10.0,56.3132438659668
2024-08-31,2024-09-01,296.32000732421875,296.32000732421875,296.32000732421875,0.0,65536,422,2,10.0,56.3132438659668
2024-09-01,2024-09-02,289.2200012207031,289.2200012207031,289.2200012207031,0.0,65536,422,2,10.0,56.3132438659668
2024-09-02,2024-09-03,292.8900146484375,292.8900146484375,292.8900146484375,0.0,65536,422,2,10.0,56.3132438659668
2024-09-03,2024-09-04,289.0400085449219,289.0400085449219,289.0400085449219,0.0,65536,422,2,10.0,56.3132438659668
2024-09-05,2024-09-06,296.010009765625,296.010009765625,296.010009765625,0.0,65536,422,2,10.0,56.3132438659668
2024-09-07,2024-09-08,295.25,295.25,295.25,0.0,65536,422,2,10.0,56.3132438659668
2024-09-09,2024-09-10,294.3900146484375,294.3900146484375,294.3900146484375,0.0,65536,422,2,10.0,56.3132438659668
2024-09-10,2024-09-11,294.2300109863281,294.2300109863281,294.2300109863281,0.0,65536,422,2,10.0,56.3132438659668
2024-09-12,2024-09-13,292.29998779296875,292.29998779296875,292.29998779296875,0.0,65536,422,2,10.0,56.3132438659668
2024-09-14,2024-09-15,297.3999938964844,297.3999938964844,297.3999938964844,0.0,65536,422,2,10.0,56.3132438659668
2024-09-16,2024-09-17,297.1099853515625,297.1099853515625,297.1099853515625,0.0,65536,422,2,10.0,56.3132438659668
2024-09-17,2024-09-18,295.3900146484375,295.3900146484375,295.3900146484375,0.0,65536,422,2,10.0,56.3132438659668
