"location","year_month","month_min"
"Fundación_Neotropica",2021-10-01,21.4
"Fundación_Neotropica",2021-11-01,21.4
"Fundación_Neotropica",2021-12-01,21.1
"Fundación_Neotropica",2022-01-01,20.8
"Fundación_Neotropica",2022-02-01,20.4
"Fundación_Neotropica",2022-03-01,20.3
"Fundación_Neotropica",2022-04-01,21.1
"Fundación_Neotropica",2022-05-01,22
"Fundación_Neotropica",2022-06-01,21.2
"Fundación_Neotropica",2022-07-01,20.9
"Fundación_Neotropica",2022-08-01,20.1
"Fundación_Neotropica",2022-09-01,21.5
"Fundación_Neotropica",2022-10-01,21.9
"Fundación_Neotropica",2022-11-01,21.6
"Fundación_Neotropica",2022-12-01,20.9
"Fundación_Neotropica",2023-01-01,21.2
"Fundación_Neotropica",2023-02-01,20.9
"Fundación_Neotropica",2023-03-01,21.5
"Fundación_Neotropica",2023-04-01,21.2
"Fundación_Neotropica",2023-05-01,22.3
"Fundación_Neotropica",2023-06-01,22.6
"Fundación_Neotropica",2023-07-01,21.3
"Fundación_Neotropica",2023-08-01,22.4
"Fundación_Neotropica",2023-09-01,22.2
"Fundación_Neotropica",2023-10-01,21.5
"Fundación_Neotropica",2023-11-01,22.6
"Fundación_Neotropica",2023-12-01,22.5
"Fundación_Neotropica",2024-01-01,22.9
"Fundación_Neotropica",2024-02-01,21.9
"Fundación_Neotropica",2024-03-01,22.7
"Fundación_Neotropica",2024-04-01,23.1
"Fundación_Neotropica",2024-05-01,22.5
"Fundación_Neotropica",2024-06-01,22.6
"Fundación_Neotropica",2024-07-01,22.4
"Greg_gund",2013-09-01,20.51
"Greg_gund",2013-10-01,21.32
"Greg_gund",2013-11-01,18.83
"Greg_gund",2013-12-01,20.98
"Greg_gund",2014-01-01,21.75
"Greg_gund",2014-02-01,22.14
"Greg_gund",2014-03-01,21.95
"Greg_gund",2014-04-01,20.59
"Greg_gund",2014-05-01,15.39
"Greg_gund",2014-06-01,20.77
"Greg_gund",2014-07-01,20.52
"Greg_gund",2014-10-01,21.5
"Greg_gund",2014-11-01,21.58
"Greg_gund",2014-12-01,22.08
"Greg_gund",2015-01-01,22.12
"Greg_gund",2015-02-01,21.82
"Greg_gund",2015-03-01,21.76
"Greg_gund",2015-04-01,22.04
"Greg_gund",2015-05-01,21.1
"Greg_gund",2015-06-01,22
"Greg_gund",2015-07-01,21.4
"Greg_gund",2015-08-01,21.5
"Greg_gund",2015-09-01,21.2
"Greg_gund",2015-10-01,21.4
"Greg_gund",2015-11-01,21.7
"Greg_gund",2015-12-01,22.8
"Greg_gund",2016-01-01,21.4
"Greg_gund",2016-02-01,23
"Greg_gund",2016-03-01,23.4
"Greg_gund",2016-04-01,22.6
"Greg_gund",2016-05-01,23
"Greg_gund",2017-03-01,22
"Greg_gund",2017-04-01,21.6
"Greg_gund",2017-05-01,21.9
"Greg_gund",2017-06-01,21.4
"Greg_gund",2017-07-01,20.6
"Greg_gund",2017-08-01,20.5
"Greg_gund",2017-09-01,20.9
"Greg_gund",2017-10-01,19.5
"Greg_gund",2017-11-01,20.3
"Greg_gund",2017-12-01,20.8
"Greg_gund",2018-01-01,20.9
"Greg_gund",2018-02-01,21.1
"Greg_gund",2018-03-01,21.6
"Greg_gund",2018-04-01,20.8
"Greg_gund",2018-05-01,20.9
"Greg_gund",2018-06-01,20.1
"Greg_gund",2018-07-01,20.2
"Greg_gund",2018-08-01,20.7
"Greg_gund",2018-09-01,21.3
"Greg_gund",2018-10-01,21.1
"Greg_gund",2018-11-01,21.4
"Greg_gund",2018-12-01,21
"Greg_gund",2019-01-01,20.5
"Greg_gund",2019-02-01,21.4
"Greg_gund",2019-03-01,22.5
"Greg_gund",2019-04-01,22
"Greg_gund",2019-05-01,20.2
"Greg_gund",2019-06-01,21
"Greg_gund",2019-07-01,20.6
"Greg_gund",2019-08-01,20.2
"Greg_gund",2019-09-01,20.1
"Greg_gund",2019-10-01,19.4
"Greg_gund",2019-11-01,19.8
"Greg_gund",2019-12-01,20.6
"Greg_gund",2020-01-01,20.6
"Greg_gund",2020-02-01,21.6
"Greg_gund",2020-03-01,21.9
"Greg_gund",2020-04-01,20.8
"Greg_gund",2020-05-01,20
"Greg_gund",2020-06-01,19.3
"Greg_gund",2020-07-01,17.8
"Greg_gund",2020-08-01,16.2
"Greg_gund",2020-09-01,19
