"location","index","date","value"
"Altamira","temp_max_C",2001-02-22,27.03
"Altamira","temp_max_C",2001-02-23,26.01
"Altamira","temp_max_C",2001-02-24,27.46
"Altamira","temp_max_C",2001-02-25,28.03
"Altamira","temp_max_C",2001-02-26,27.43
"Altamira","temp_max_C",2001-02-27,25.87
"Altamira","temp_max_C",2001-02-28,27.36
"Altamira","temp_max_C",2001-03-01,27.32
"Altamira","temp_max_C",2001-03-02,25.34
"Altamira","temp_max_C",2001-03-03,26.37
"Altamira","temp_max_C",2001-03-04,24.69
"Altamira","temp_max_C",2001-03-05,26.14
"Altamira","temp_max_C",2001-03-06,25.16
"Altamira","temp_max_C",2001-03-07,26.72
"Altamira","temp_max_C",2001-03-08,27.17
"Altamira","temp_max_C",2001-03-09,27.5
"Altamira","temp_max_C",2001-03-10,26.14
"Altamira","temp_max_C",2001-03-11,26.97
"Altamira","temp_max_C",2001-03-12,26.14
"Altamira","temp_max_C",2001-03-13,27.54
"Altamira","temp_max_C",2001-03-14,26.99
"Altamira","temp_max_C",2001-03-15,26.3
"Altamira","temp_max_C",2001-03-16,27.31
"Altamira","temp_max_C",2001-03-17,27.03
"Altamira","temp_max_C",2001-03-18,25.74
"Altamira","temp_max_C",2001-03-19,26.17
"Altamira","temp_max_C",2001-03-20,25.67
"Altamira","temp_max_C",2001-03-21,25.67
"Altamira","temp_max_C",2001-03-22,24.6
"Altamira","temp_max_C",2001-03-23,26.22
"Altamira","temp_max_C",2001-03-24,25.66
"Altamira","temp_max_C",2001-03-25,26.51
"Altamira","temp_max_C",2001-03-26,26.4
"Altamira","temp_max_C",2001-03-27,25
"Altamira","temp_max_C",2001-03-28,25.62
"Altamira","temp_max_C",2001-03-29,26.78
