interval_from,interval_to,LST,land_type,Id,land_type_label
2023-02-01,2023-02-02,302.5299987792969,10,Site-007,forest
2023-02-02,2023-02-03,302.8900146484375,10,Site-007,forest
2023-02-04,2023-02-05,303.17999267578125,10,Site-007,forest
2023-02-06,2023-02-07,303.2300109863281,10,Site-007,forest
2023-02-08,2023-02-09,303.8299865722656,10,Site-007,forest
2023-02-09,2023-02-10,302.1199951171875,10,Site-007,forest
2023-02-10,2023-02-11,302.989990234375,10,Site-007,forest
2023-02-11,2023-02-12,303.7099914550781,10,Site-007,forest
2023-02-13,2023-02-14,304.1400146484375,10,Site-007,forest
2023-02-15,2023-02-16,304.1199951171875,10,Site-007,forest
2023-02-17,2023-02-18,302.9100036621094,10,Site-007,forest
2023-02-18,2023-02-19,305.1300048828125,10,Site-007,forest
2023-02-20,2023-02-21,305.2900085449219,10,Site-007,forest
2023-02-22,2023-02-23,304.8699951171875,10,Site-007,forest
2023-02-24,2023-02-25,303.7300109863281,10,Site-007,forest
2023-02-25,2023-02-26,303.1300048828125,10,Site-007,forest
2023-02-26,2023-02-27,303.5299987792969,10,Site-007,forest
2023-02-27,2023-02-28,304.9700012207031,10,Site-007,forest
2023-03-01,2023-03-02,303.94000244140625,10,Site-007,forest
2023-03-03,2023-03-04,304.7799987792969,10,Site-007,forest
2023-03-05,2023-03-06,303.0599975585937,10,Site-007,forest
2023-03-06,2023-03-07,301.0,10,Site-007,forest
2023-03-08,2023-03-09,293.8800048828125,10,Site-007,forest
2023-03-10,2023-03-11,300.3500061035156,10,Site-007,forest
2023-03-12,2023-03-13,300.8599853515625,10,Site-007,forest
2023-03-13,2023-03-14,296.739990234375,10,Site-007,forest
2023-03-14,2023-03-15,301.0199890136719,10,Site-007,forest
2023-03-15,2023-03-16,300.95001220703125,10,Site-007,forest
2023-03-17,2023-03-18,299.1300048828125,10,Site-007,forest
2023-03-19,2023-03-20,302.3699951171875,10,Site-007,forest
2023-03-21,2023-03-22,303.3599853515625,10,Site-007,forest
2023-03-22,2023-03-23,301.4100036621094,10,Site-007,forest
2023-03-24,2023-03-25,303.17999267578125,10,Site-007,forest
2023-03-26,2023-03-27,303.0599975585937,10,Site-007,forest
2023-03-28,2023-03-29,303.1400146484375,10,Site-007,forest
2023-03-29,2023-03-30,299.9100036621094,10,Site-007,forest
2023-03-30,2023-03-31,300.9599914550781,10,Site-007,forest
2023-03-31,2023-04-01,302.8599853515625,10,Site-007,forest
2023-01-01,2023-01-02,300.8599853515625,10,Site-008,forest
2023-01-03,2023-01-04,301.0199890136719,10,Site-008,forest
2023-01-05,2023-01-06,302.9800109863281,10,Site-008,forest
2023-01-07,2023-01-08,301.3999938964844,10,Site-008,forest
2023-01-08,2023-01-09,299.3299865722656,10,Site-008,forest
2023-01-09,2023-01-10,295.3900146484375,10,Site-008,forest
2023-01-10,2023-01-11,296.5,10,Site-008,forest
2023-01-12,2023-01-13,300.6499938964844,10,Site-008,forest
2023-01-14,2023-01-15,300.79998779296875,10,Site-008,forest
2023-01-16,2023-01-17,301.7699890136719,10,Site-008,forest
2023-01-17,2023-01-18,301.3099975585937,10,Site-008,forest
2023-01-19,2023-01-20,302.0599975585937,10,Site-008,forest
